PeakID (cmd=annotatePeaks.pl /sonas-hs/ware/hpc_norepl/data/foli/maizeCode/RA1_deduct_final.bed zm_v4 -ann /sonas-hs/ware/hpc/home/foli/software/homer/data/genomes/zm_v4/zm_v4.basic.annotation)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
9-31	9	61984647	61984846	+	55.6	NA	NA	NA	12583	transcript:Zm00001d027106_T001								
1-85	1	377295	377494	+	55.6	NA	NA	NA	-3288	transcript:Zm00001d027252_T001								
9-32	9	46970314	46970513	+	55.2	NA	NA	NA	15248	transcript:Zm00001d045906_T001								
2-77	2	98051916	98052115	+	55.2	NA	NA	NA	-8516	transcript:Zm00001d004269_T001								
9-34	9	61989239	61989438	+	54.7	NA	NA	NA	17175	transcript:Zm00001d027106_T001								
8-53	8	162132372	162132569	+	54.5	NA	promoter-TSS (transcript:Zm00001d011820_T001)	NA	-568	transcript:Zm00001d011820_T001								
8-46	8	162132400	162132599	+	54.3	NA	promoter-TSS (transcript:Zm00001d011820_T001)	NA	-539	transcript:Zm00001d011820_T001								
4-34	4	115209351	115209550	+	54.3	NA	NA	NA	2609	transcript:Zm00001d026873_T001								
1-84	1	374097	374296	+	54.3	NA	promoter-TSS (transcript:Zm00001d027252_T001)	NA	-90	transcript:Zm00001d027252_T001								
1-87	1	235244373	235244572	+	53.9	NA	NA	NA	72889	transcript:Zm00001d032703_T002								
9-36	9	61991100	61991299	+	53.5	NA	NA	NA	19036	transcript:Zm00001d027106_T001								
3-60	3	109380375	109380572	+	52.7	NA	NA	NA	-125511	transcript:Zm00001d041268_T002								
4-70-2	4	160312412	160312609	+	52.7	NA	NA	NA	8799	transcript:Zm00001d051489_T001								
2-85	2	98051209	98051408	+	52.6	NA	NA	NA	-7809	transcript:Zm00001d004269_T001								
2-86	2	152228566	152228765	+	52.6	NA	TTS (transcript:Zm00001d004984_T001)	NA	-149	transcript:Zm00001d000947_T001								
4-38	4	115208931	115209130	+	52.2	NA	NA	NA	2189	transcript:Zm00001d026873_T001								
4-38-2	4	115208931	115209130	+	52.2	NA	NA	NA	2189	transcript:Zm00001d026873_T001								
1-115	1	8203745	8203942	+	52.1	NA	promoter-TSS (transcript:Zm00001d022665_T001)	NA	112	transcript:Zm00001d027559_T001								
6-78	6	54018889	54019086	+	52.1	NA	promoter-TSS (transcript:Zm00001d035832_T001)	NA	67	transcript:Zm00001d035832_T001								
3-62	3	84265123	84265320	+	52.1	NA	NA	NA	-258696	transcript:Zm00001d000561_T001								
4-45	4	156990236	156990435	+	51.8	NA	NA	NA	-3928	transcript:Zm00001d051393_T002								
9-40	9	61946345	61946544	+	51.8	NA	NA	NA	2273	transcript:Zm00001d046080_T001								
9-42	9	65375777	65375976	+	51.8	NA	NA	NA	43232	transcript:Zm00001d046132_T001								
2-88	2	236168498	236168697	+	51.8	NA	NA	NA	33918	transcript:Zm00001d007606_T001								
4-74	4	160309939	160310136	+	51.6	NA	NA	NA	6326	transcript:Zm00001d051489_T001								
8-48	8	133349010	133349209	+	51.4	NA	NA	NA	-35792	transcript:Zm00001d010918_T001								
1-72	1	89245312	89245511	+	51.4	NA	NA	NA	-10006	transcript:Zm00001d029831_T001								
3-32	3	109380443	109380642	+	51.4	NA	NA	NA	-125580	transcript:Zm00001d041268_T002								
9-41	9	61951928	61952127	+	51.0	NA	NA	NA	-1320	transcript:Zm00001d046081_T001								
10-28	10	143196814	143197011	+	51.0	NA	NA	NA	-1030	transcript:Zm00001d026300_T001								
6-79	6	55331286	55331483	+	50.4	NA	NA	NA	7204	transcript:Zm00001d035844_T020								
10-23	10	3029551	3029750	+	49.7	NA	NA	NA	-1511	transcript:Zm00001d023320_T006								
9-92	9	90538351	90538548	+	49.2	NA	NA	NA	-4114	transcript:Zm00001d046451_T001								
3-64	3	74897351	74897548	+	49.2	NA	NA	NA	8347	transcript:Zm00001d040879_T001								
9-48	9	61984234	61984433	+	48.9	NA	NA	NA	12170	transcript:Zm00001d027106_T001								
1-123	1	235237992	235238189	+	48.6	NA	NA	NA	79271	transcript:Zm00001d032703_T002								
2-95	2	220649053	220649252	+	48.5	NA	TTS (transcript:Zm00001d007038_T005)	NA	-1666	transcript:Zm00001d007039_T001								
9-54	9	134172053	134172252	+	47.6	NA	NA	NA	28759	transcript:Zm00001d047536_T058								
9-93	9	90539198	90539395	+	47.5	NA	NA	NA	-4961	transcript:Zm00001d046451_T001								
4-84	4	160291301	160291498	+	47.5	NA	promoter-TSS (transcript:Zm00001d051488_T001)	NA	-930	transcript:Zm00001d051488_T001								
4-56	4	160309970	160310169	+	47.2	NA	NA	NA	6358	transcript:Zm00001d051489_T001								
2-106	2	236160924	236161123	+	47.2	NA	NA	NA	-37489	transcript:Zm00001d001052_T001								
9-91	9	6521895	6522092	+	46.9	NA	NA	NA	2159	transcript:Zm00001d044884_T001								
2-109	2	178915481	178915680	+	46.8	NA	NA	NA	8332	transcript:Zm00001d005573_T030								
2-100	2	14974984	14975183	+	46.8	NA	NA	NA	-7763	transcript:Zm00001d002537_T002								
7-70	7	179705304	179705503	+	46.4	NA	TTS (transcript:Zm00001d022538_T001)	NA	-20904	transcript:Zm00001d022539_T001								
4-63	4	211598822	211599021	+	46.4	NA	NA	NA	38947	transcript:Zm00001d026988_T001								
10-29	10	48267840	48268037	+	46.3	NA	intron (transcript:Zm00001d024128_T002, intron 4 of 6)	NA	10680	transcript:Zm00001d024128_T004								
10-30	10	3029555	3029752	+	45.7	NA	NA	NA	-1514	transcript:Zm00001d023320_T006								
3-71	3	98191362	98191559	+	45.7	NA	NA	NA	-51725	transcript:Zm00001d041112_T002								
9-63	9	61945099	61945298	+	45.1	NA	NA	NA	3519	transcript:Zm00001d046080_T001								
4-70	4	160312111	160312310	+	44.7	NA	NA	NA	8499	transcript:Zm00001d051489_T001								
1-124	1	286107190	286107387	+	44.5	NA	NA	NA	26338	transcript:Zm00001d034189_T001								
2-145	2	220648994	220649191	+	44.5	NA	TTS (transcript:Zm00001d007038_T005)	NA	-1726	transcript:Zm00001d007039_T001								
8-64	8	12308735	12308932	+	44.5	NA	TTS (transcript:Zm00001d008540_T001)	NA	998	transcript:Zm00001d008540_T001								
10-27	10	48267858	48268057	+	43.9	NA	intron (transcript:Zm00001d024128_T002, intron 4 of 6)	NA	10699	transcript:Zm00001d024128_T004								
1-125	1	177551189	177551386	+	43.9	NA	NA	NA	-21817	transcript:Zm00001d031108_T001								
4-71	4	160291232	160291431	+	43.9	NA	promoter-TSS (transcript:Zm00001d051488_T001)	NA	-998	transcript:Zm00001d051488_T001								
10-31	10	143196784	143196983	+	43.9	NA	NA	NA	-1059	transcript:Zm00001d026300_T001								
1-129	1	208592528	208592725	+	43.9	NA	NA	NA	-75993	transcript:Zm00001d031985_T001								
1-128	1	133041924	133042121	+	43.9	NA	TTS (transcript:Zm00001d022806_T001)	NA	1163	transcript:Zm00001d022806_T001								
6-69	6	54018866	54019065	+	43.9	NA	promoter-TSS (transcript:Zm00001d035832_T001)	NA	45	transcript:Zm00001d035832_T001								
4-65	4	112541743	112541942	+	43.5	NA	NA	NA	-96193	transcript:Zm00001d050656_T001								
6-68	6	46218763	46218962	+	43.5	NA	NA	NA	-52330	transcript:Zm00001d035762_T001								
2-125	2	11217537	11217736	+	42.2	NA	NA	NA	-38282	transcript:Zm00001d002370_T001								
4-102	4	185234886	185235083	+	41.6	NA	TTS (transcript:Zm00001d052263_T001)	NA	3849	transcript:Zm00001d052264_T002								
4-97	4	160284628	160284825	+	41.0	NA	NA	NA	-7603	transcript:Zm00001d051488_T001								
1-118	1	8203742	8203941	+	40.9	NA	promoter-TSS (transcript:Zm00001d022665_T001)	NA	110	transcript:Zm00001d027559_T001								
1-117	1	286107194	286107393	+	40.5	NA	NA	NA	26343	transcript:Zm00001d034189_T001								
9-107	9	90535084	90535281	+	40.4	NA	promoter-TSS (transcript:Zm00001d046451_T001)	NA	-847	transcript:Zm00001d046451_T001								
1-132	1	88287635	88287832	+	39.8	NA	NA	NA	14862	transcript:Zm00001d029815_T001								
8-68	8	133349016	133349213	+	39.8	NA	NA	NA	-35787	transcript:Zm00001d010918_T001								
6-80	6	55331344	55331543	+	39.3	NA	NA	NA	7263	transcript:Zm00001d035844_T020								
8-60	8	103560718	103560917	+	39.3	NA	NA	NA	-41533	transcript:Zm00001d010197_T001								
9-97	9	90538933	90539132	+	38.9	NA	NA	NA	-4697	transcript:Zm00001d046451_T001								
4-106	4	217031574	217031771	+	38.7	NA	NA	NA	30338	transcript:Zm00001d053157_T001								
4-108	4	196549870	196550067	+	38.7	NA	NA	NA	-12029	transcript:Zm00001d052668_T001								
9-85	9	61922490	61922689	+	38.4	NA	NA	NA	1358	transcript:Zm00001d046079_T001								
8-71	8	140806818	140807015	+	38.1	NA	NA	NA	48732	transcript:Zm00001d011152_T064								
3-67	3	84265092	84265291	+	38.0	NA	NA	NA	-258666	transcript:Zm00001d000561_T001								
4-87	4	160284653	160284852	+	38.0	NA	NA	NA	-7577	transcript:Zm00001d051488_T001								
9-98	9	90538486	90538685	+	37.6	NA	NA	NA	-4250	transcript:Zm00001d046451_T001								
9-118	9	90551317	90551514	+	37.5	NA	NA	NA	-4886	transcript:Zm00001d046453_T001								
1-142	1	274819685	274819882	+	36.9	NA	exon (transcript:Zm00001d033823_T001, exon 1 of 1)	NA	905	transcript:Zm00001d033823_T001								
5-113	5	210197315	210197512	+	35.7	NA	NA	NA	-5518	transcript:Zm00001d017926_T001								
4-94	4	217031566	217031765	+	34.3	NA	NA	NA	30345	transcript:Zm00001d053157_T001								
4-95	4	160268759	160268958	+	34.3	NA	NA	NA	-19855	transcript:Zm00001d051485_T001								
9-111	9	90551315	90551514	+	34.3	NA	NA	NA	-4887	transcript:Zm00001d046453_T001								
2-152	2	179352089	179352288	+	33.8	NA	NA	NA	-22960	transcript:Zm00001d005579_T002								
4-98	4	196549878	196550077	+	33.8	NA	NA	NA	-12038	transcript:Zm00001d052668_T001								
3-94	3	222157148	222157345	+	33.4	NA	NA	NA	10170	transcript:Zm00001d000711_T001								
5-97	5	200374278	200374477	+	33.4	NA	NA	NA	-79263	transcript:Zm00001d017577_T002								
3-81	3	222157131	222157330	+	33.0	NA	NA	NA	10186	transcript:Zm00001d000711_T001								
9-126-2	9	148953131	148953328	+	32.8	NA	NA	NA	26614	transcript:Zm00001d048053_T005								
1-138	1	88287592	88287791	+	32.6	NA	NA	NA	14820	transcript:Zm00001d029815_T001								
2-169	2	199514954	199515151	+	32.2	NA	promoter-TSS (transcript:Zm00001d006133_T002)	NA	-103	transcript:Zm00001d006133_T002								
6-104	6	93456043	93456240	+	32.2	NA	NA	NA	-38270	transcript:Zm00001d036577_T001								
9-120	9	90535087	90535286	+	31.3	NA	promoter-TSS (transcript:Zm00001d046451_T001)	NA	-851	transcript:Zm00001d046451_T001								
5-122	5	200374283	200374480	+	31.1	NA	NA	NA	-79267	transcript:Zm00001d017577_T002								
9-122	9	148953140	148953339	+	30.5	NA	NA	NA	26624	transcript:Zm00001d048053_T005								
1-158	1	164112479	164112676	+	30.5	NA	NA	NA	-3882	transcript:Zm00001d030866_T001								
9-116	9	57436646	57436845	+	30.1	NA	NA	NA	-35927	transcript:Zm00001d046035_T001								
3-83	3	74897341	74897540	+	30.1	NA	NA	NA	8356	transcript:Zm00001d040879_T001								
5-102	5	210197344	210197543	+	30.1	NA	NA	NA	-5488	transcript:Zm00001d017926_T001								
1-148	1	235237990	235238189	+	29.7	NA	NA	NA	79272	transcript:Zm00001d032703_T002								
1-165	1	184602308	184602505	+	29.3	NA	NA	NA	-27173	transcript:Zm00001d031271_T003								
2-178	2	18629781	18629978	+	29.3	NA	NA	NA	-17076	transcript:Zm00001d002661_T001								
5-136	5	8365	8562	+	29.3	NA	NA	NA	26198	transcript:Zm00001d012794_T010								
8-69	8	174372209	174372408	+	29.2	NA	NA	NA	-3331	transcript:Zm00001d012432_T001								
1-143	1	133041861	133042060	+	29.2	NA	TTS (transcript:Zm00001d022806_T001)	NA	1225	transcript:Zm00001d022806_T001								
6-101	6	102283819	102284018	+	29.2	NA	NA	NA	-9611	transcript:Zm00001d036823_T001								
1-147	1	175176602	175176801	+	29.2	NA	promoter-TSS (transcript:Zm00001d031061_T006)	NA	-635	transcript:Zm00001d031061_T008								
8-73	8	140806814	140807013	+	28.8	NA	NA	NA	48735	transcript:Zm00001d011152_T064								
9-126	9	6531142	6531341	+	28.8	NA	NA	NA	1569	transcript:Zm00001d044885_T001								
9-125	9	6521841	6522040	+	28.8	NA	NA	NA	2212	transcript:Zm00001d044884_T001								
6-112	6	128078010	128078207	+	28.1	NA	NA	NA	-1208	transcript:Zm00001d037524_T001								
1-151	1	208592523	208592722	+	28.0	NA	NA	NA	-75997	transcript:Zm00001d031985_T001								
5-140	5	145473802	145473999	+	27.5	NA	NA	NA	46065	transcript:Zm00001d001658_T001								
1-157	1	177551150	177551349	+	27.2	NA	NA	NA	-21779	transcript:Zm00001d031108_T001								
3-92	3	98191343	98191542	+	27.2	NA	NA	NA	-51707	transcript:Zm00001d041112_T002								
