V3	V4
GRMZM2G460566	Zm00001d011938
GRMZM2G455809	Zm00001d028806
GRMZM2G175562	Zm00001d036535
GRMZM2G058595	Zm00001d023314
GRMZM2G333980	Zm00001d021836
GRMZM2G302045	Zm00001d011929
GRMZM2G136266	Zm00001d023507
GRMZM2G343157	Zm00001d027899
GRMZM2G344993	Zm00001d046460
GRMZM2G022065	Zm00001d039007
GRMZM2G119300	Zm00001d042874
GRMZM2G324083	7:157096775-157097099
GRMZM5G850966	Zm00001d038374
GRMZM2G168651	2:56797743-56799518
GRMZM2G099305	Zm00001d034143
GRMZM2G005435	Zm00001d028130
GRMZM2G143499	Zm00001d026475
GRMZM2G010855	NA
GRMZM2G417166	NA
GRMZM2G401331	Zm00001d033857
GRMZM2G055313	Zm00001d039426
GRMZM2G004511	Zm00001d034558
GRMZM2G026847	NA
GRMZM2G022318	Zm00001d023372
GRMZM2G062527	Zm00001d038056
GRMZM2G010596	Zm00001d008976
GRMZM2G123202	Zm00001d002843
GRMZM2G002304	Zm00001d011930
GRMZM2G083538	Zm00001d031638
GRMZM2G174274	Zm00001d041990
GRMZM2G151811	Zm00001d022530
GRMZM2G107711	Zm00001d002278
GRMZM2G312419	Zm00001d008251
GRMZM2G133483	3:161430852-161432839
GRMZM2G036297	Zm00001d002005
GRMZM2G105330	Zm00001d001849
GRMZM2G070708	Zm00001d016891
AC199001.3_FG005	Zm00001d011096
GRMZM2G014295	Zm00001d022306
GRMZM2G083394	Zm00001d008666
GRMZM2G138230	Zm00001d021553
GRMZM2G467717	Zm00001d018392
GRMZM2G050882	Zm00001d025830
GRMZM5G840909	Zm00001d034726
GRMZM2G005236	Zm00001d012238
GRMZM2G461936	Zm00001d013542
GRMZM2G055880	Zm00001d027354
GRMZM2G381386	Zm00001d022436
GRMZM2G329454	Zm00001d017505
GRMZM2G018951	Zm00001d040312
AC190909.3_FG004	Zm00001d014867
GRMZM2G461948	Zm00001d013540
GRMZM2G108655	Zm00001d047536
GRMZM2G024482	Zm00001d049351
GRMZM2G455433	Zm00001d033858
GRMZM2G078576	Zm00001d043301
GRMZM2G353147	Zm00001d029095
GRMZM2G040968	Zm00001d023792
GRMZM5G825524	Zm00001d034492
GRMZM2G087619	Zm00001d042706
GRMZM2G340456	Zm00001d020978
AC205730.3_FG002	Zm00001d030935
GRMZM2G115812	Zm00001d041889
GRMZM2G136146	Zm00001d042708
GRMZM2G114893	Zm00001d029869
GRMZM2G322618	Zm00001d007045
GRMZM5G891967	Zm00001d016271
GRMZM2G052467	Zm00001d013178
GRMZM2G058531	Zm00001d023313
GRMZM5G879527	Zm00001d031441
GRMZM5G846152	Zm00001d042388
GRMZM2G021621	Zm00001d029899
GRMZM2G134334	Zm00001d006016
GRMZM2G073044	Zm00001d010751
GRMZM2G151319	Zm00001d044534
GRMZM5G832281	Zm00001d021778
GRMZM2G074032	Zm00001d047976
GRMZM2G531230	Zm00001d002052
GRMZM2G082032	Zm00001d002052
GRMZM2G112629	Zm00001d040148
GRMZM5G879665	Zm00001d032688
GRMZM5G822440	Zm00001d021777
GRMZM2G007324	Zm00001d006749
GRMZM2G162020	Zm00001d049684
GRMZM2G127404	Zm00001d034588
GRMZM2G179777	Zm00001d021971
GRMZM2G087878	Zm00001d029680
GRMZM2G050305	Zm00001d006236
GRMZM5G875864	Zm00001d008495
GRMZM2G085892	Zm00001d025218
GRMZM2G125507	Zm00001d006509
GRMZM2G060079	Zm00001d038146
GRMZM5G898141	2:144530188-144534800
GRMZM2G175860	Zm00001d038250
GRMZM2G064732	Zm00001d027886
GRMZM2G369912	Zm00001d034817
GRMZM2G317451	Zm00001d017907
GRMZM2G060837	Zm00001d017699
GRMZM2G172917	Zm00001d006357
GRMZM2G057753	Zm00001d023455
GRMZM2G082874	Zm00001d036454
GRMZM5G847159	Zm00001d049551
GRMZM2G089092	Zm00001d027505
GRMZM2G105922	Zm00001d005431
GRMZM2G339540	Zm00001d044434
GRMZM2G125527	Zm00001d006510
GRMZM2G006780	Zm00001d052993
GRMZM2G472651	Zm00001d033317
GRMZM2G093325	Zm00001d038002
GRMZM2G070167	Zm00001d040202
GRMZM5G843174	Zm00001d020180
GRMZM2G025685	Zm00001d022295
GRMZM2G001934	Zm00001d026668
GRMZM2G105901	Zm00001d049768
GRMZM2G313448	Zm00001d035506
GRMZM2G400268	Zm00001d031184
GRMZM2G346920	Zm00001d031840
GRMZM2G063363	Zm00001d024661
GRMZM2G048497	Zm00001d018555
GRMZM2G161168	Zm00001d011941
AC211178.3_FG004	Zm00001d048051
GRMZM2G076705	Zm00001d009014
GRMZM2G171073	Zm00001d028139
GRMZM2G175089	Zm00001d038879
GRMZM2G036092	Zm00001d018056
GRMZM2G051138	Zm00001d047946
GRMZM2G154328	Zm00001d024602
GRMZM2G347808	Zm00001d029429
GRMZM2G441583	Zm00001d035747
GRMZM2G010000	Zm00001d028866
GRMZM2G103116	Zm00001d003400
GRMZM2G304010	Zm00001d024672
GRMZM5G886709	Zm00001d034159
GRMZM2G114906	Zm00001d029868
GRMZM5G882418	Zm00001d034727
GRMZM2G439589	Zm00001d009315
GRMZM2G113863	Zm00001d022474
GRMZM2G138076	Zm00001d000311
GRMZM2G027756	Zm00001d021584
GRMZM5G822842	Zm00001d021072
GRMZM5G821139	Zm00001d010066
AC203535.4_FG002	Zm00001d042288
GRMZM2G143651	Zm00001d018479
GRMZM2G377589	Zm00001d043352
GRMZM5G834697	Zm00001d045064
GRMZM2G133428	Zm00001d042328
GRMZM2G408834	Zm00001d027253
GRMZM2G408834	Zm00001d027254
GRMZM2G147701	Zm00001d051552
